checkpoint_id,environment,selected,episode,seed,reward,length
cartpole_mse_lr0.0005_final,CartPole-v1,False,38,1037,213.0,213
cartpole_mse_lr0.0005_final,CartPole-v1,False,39,1038,195.0,195
cartpole_mse_lr0.0005_final,CartPole-v1,False,40,1039,276.0,276
cartpole_mse_lr0.0005_final,CartPole-v1,False,41,1040,397.0,397
cartpole_mse_lr0.0005_final,CartPole-v1,False,42,1041,461.0,461
cartpole_mse_lr0.0005_final,CartPole-v1,False,43,1042,222.0,222
cartpole_mse_lr0.0005_final,CartPole-v1,False,44,1043,198.0,198
cartpole_mse_lr0.0005_final,CartPole-v1,False,45,1044,181.0,181
cartpole_mse_lr0.0005_final,CartPole-v1,False,46,1045,287.0,287
cartpole_mse_lr0.0005_final,CartPole-v1,False,47,1046,211.0,211
cartpole_mse_lr0.0005_final,CartPole-v1,False,48,1047,203.0,203
cartpole_mse_lr0.0005_final,CartPole-v1,False,49,1048,310.0,310
cartpole_mse_lr0.0005_final,CartPole-v1,False,50,1049,227.0,227
cartpole_mse_lr0.0005_final,CartPole-v1,False,51,1050,279.0,279
cartpole_mse_lr0.0005_final,CartPole-v1,False,52,1051,206.0,206
cartpole_mse_lr0.0005_final,CartPole-v1,False,53,1052,207.0,207
cartpole_mse_lr0.0005_final,CartPole-v1,False,54,1053,279.0,279
cartpole_mse_lr0.0005_final,CartPole-v1,False,55,1054,203.0,203
cartpole_mse_lr0.0005_final,CartPole-v1,False,56,1055,241.0,241
cartpole_mse_lr0.0005_final,CartPole-v1,False,57,1056,245.0,245
cartpole_mse_lr0.0005_final,CartPole-v1,False,58,1057,200.0,200
cartpole_mse_lr0.0005_final,CartPole-v1,False,59,1058,192.0,192
cartpole_mse_lr0.0005_final,CartPole-v1,False,60,1059,208.0,208
cartpole_mse_lr0.0005_final,CartPole-v1,False,61,1060,330.0,330
cartpole_mse_lr0.0005_final,CartPole-v1,False,62,1061,213.0,213
cartpole_mse_lr0.0005_final,CartPole-v1,False,63,1062,249.0,249
cartpole_mse_lr0.0005_final,CartPole-v1,False,64,1063,285.0,285
cartpole_mse_lr0.0005_final,CartPole-v1,False,65,1064,184.0,184
cartpole_mse_lr0.0005_final,CartPole-v1,False,66,1065,319.0,319
cartpole_mse_lr0.0005_final,CartPole-v1,False,67,1066,187.0,187
cartpole_mse_lr0.0005_final,CartPole-v1,False,68,1067,217.0,217
cartpole_mse_lr0.0005_final,CartPole-v1,False,69,1068,216.0,216
cartpole_mse_lr0.0005_final,CartPole-v1,False,70,1069,229.0,229
cartpole_mse_lr0.0005_final,CartPole-v1,False,71,1070,190.0,190
cartpole_mse_lr0.0005_final,CartPole-v1,False,72,1071,204.0,204
cartpole_mse_lr0.0005_final,CartPole-v1,False,73,1072,312.0,312
cartpole_mse_lr0.0005_final,CartPole-v1,False,74,1073,235.0,235
cartpole_mse_lr0.0005_final,CartPole-v1,False,75,1074,295.0,295
cartpole_mse_lr0.0005_final,CartPole-v1,False,76,1075,217.0,217
cartpole_mse_lr0.0005_final,CartPole-v1,False,77,1076,232.0,232
cartpole_mse_lr0.0005_final,CartPole-v1,False,78,1077,228.0,228
cartpole_mse_lr0.0005_final,CartPole-v1,False,79,1078,201.0,201
cartpole_mse_lr0.0005_final,CartPole-v1,False,80,1079,349.0,349
cartpole_mse_lr0.0005_final,CartPole-v1,False,81,1080,303.0,303
cartpole_mse_lr0.0005_final,CartPole-v1,False,82,1081,210.0,210
cartpole_mse_lr0.0005_final,CartPole-v1,False,83,1082,214.0,214
cartpole_mse_lr0.0005_final,CartPole-v1,False,84,1083,191.0,191
cartpole_mse_lr0.0005_final,CartPole-v1,False,85,1084,246.0,246
cartpole_mse_lr0.0005_final,CartPole-v1,False,86,1085,290.0,290
cartpole_mse_lr0.0005_final,CartPole-v1,False,87,1086,323.0,323
cartpole_mse_lr0.0005_final,CartPole-v1,False,88,1087,210.0,210
cartpole_mse_lr0.0005_final,CartPole-v1,False,89,1088,266.0,266
cartpole_mse_lr0.0005_final,CartPole-v1,False,90,1089,207.0,207
cartpole_mse_lr0.0005_final,CartPole-v1,False,91,1090,208.0,208
cartpole_mse_lr0.0005_final,CartPole-v1,False,92,1091,192.0,192
cartpole_mse_lr0.0005_final,CartPole-v1,False,93,1092,191.0,191
cartpole_mse_lr0.0005_final,CartPole-v1,False,94,1093,319.0,319
cartpole_mse_lr0.0005_final,CartPole-v1,False,95,1094,231.0,231
cartpole_mse_lr0.0005_final,CartPole-v1,False,96,1095,195.0,195
cartpole_mse_lr0.0005_final,CartPole-v1,False,97,1096,236.0,236
cartpole_mse_lr0.0005_final,CartPole-v1,False,98,1097,199.0,199
cartpole_mse_lr0.0005_final,CartPole-v1,False,99,1098,312.0,312
cartpole_mse_lr0.0005_final,CartPole-v1,False,100,1099,208.0,208
cartpole_huber_lr0.0005_best,CartPole-v1,False,1,1000,158.0,158
cartpole_huber_lr0.0005_best,CartPole-v1,False,2,1001,136.0,136
cartpole_huber_lr0.0005_best,CartPole-v1,False,3,1002,169.0,169
cartpole_huber_lr0.0005_best,CartPole-v1,False,4,1003,133.0,133
cartpole_huber_lr0.0005_best,CartPole-v1,False,5,1004,114.0,114
cartpole_huber_lr0.0005_best,CartPole-v1,False,6,1005,128.0,128
cartpole_huber_lr0.0005_best,CartPole-v1,False,7,1006,136.0,136
cartpole_huber_lr0.0005_best,CartPole-v1,False,8,1007,140.0,140
cartpole_huber_lr0.0005_best,CartPole-v1,False,9,1008,130.0,130
cartpole_huber_lr0.0005_best,CartPole-v1,False,10,1009,108.0,108
cartpole_huber_lr0.0005_best,CartPole-v1,False,11,1010,193.0,193
cartpole_huber_lr0.0005_best,CartPole-v1,False,12,1011,124.0,124
cartpole_huber_lr0.0005_best,CartPole-v1,False,13,1012,134.0,134
cartpole_huber_lr0.0005_best,CartPole-v1,False,14,1013,201.0,201
cartpole_huber_lr0.0005_best,CartPole-v1,False,15,1014,220.0,220
cartpole_huber_lr0.0005_best,CartPole-v1,False,16,1015,156.0,156
cartpole_huber_lr0.0005_best,CartPole-v1,False,17,1016,129.0,129
cartpole_huber_lr0.0005_best,CartPole-v1,False,18,1017,136.0,136
cartpole_huber_lr0.0005_best,CartPole-v1,False,19,1018,163.0,163
cartpole_huber_lr0.0005_best,CartPole-v1,False,20,1019,142.0,142
cartpole_huber_lr0.0005_best,CartPole-v1,False,21,1020,130.0,130
cartpole_huber_lr0.0005_best,CartPole-v1,False,22,1021,206.0,206
cartpole_huber_lr0.0005_best,CartPole-v1,False,23,1022,146.0,146
cartpole_huber_lr0.0005_best,CartPole-v1,False,24,1023,208.0,208
cartpole_huber_lr0.0005_best,CartPole-v1,False,25,1024,135.0,135
cartpole_huber_lr0.0005_best,CartPole-v1,False,26,1025,153.0,153
cartpole_huber_lr0.0005_best,CartPole-v1,False,27,1026,115.0,115
cartpole_huber_lr0.0005_best,CartPole-v1,False,28,1027,132.0,132
cartpole_huber_lr0.0005_best,CartPole-v1,False,29,1028,238.0,238
cartpole_huber_lr0.0005_best,CartPole-v1,False,30,1029,150.0,150
cartpole_huber_lr0.0005_best,CartPole-v1,False,31,1030,181.0,181
cartpole_huber_lr0.0005_best,CartPole-v1,False,32,1031,269.0,269
cartpole_huber_lr0.0005_best,CartPole-v1,False,33,1032,152.0,152
cartpole_huber_lr0.0005_best,CartPole-v1,False,34,1033,137.0,137
cartpole_huber_lr0.0005_best,CartPole-v1,False,35,1034,146.0,146
cartpole_huber_lr0.0005_best,CartPole-v1,False,36,1035,327.0,327
cartpole_huber_lr0.0005_best,CartPole-v1,False,37,1036,140.0,140
cartpole_huber_lr0.0005_best,CartPole-v1,False,38,1037,150.0,150
cartpole_huber_lr0.0005_best,CartPole-v1,False,39,1038,130.0,130
cartpole_huber_lr0.0005_best,CartPole-v1,False,40,1039,278.0,278
cartpole_huber_lr0.0005_best,CartPole-v1,False,41,1040,230.0,230
cartpole_huber_lr0.0005_best,CartPole-v1,False,42,1041,166.0,166
cartpole_huber_lr0.0005_best,CartPole-v1,False,43,1042,156.0,156
cartpole_huber_lr0.0005_best,CartPole-v1,False,44,1043,129.0,129
cartpole_huber_lr0.0005_best,CartPole-v1,False,45,1044,116.0,116
cartpole_huber_lr0.0005_best,CartPole-v1,False,46,1045,267.0,267
cartpole_huber_lr0.0005_best,CartPole-v1,False,47,1046,150.0,150
cartpole_huber_lr0.0005_best,CartPole-v1,False,48,1047,146.0,146
cartpole_huber_lr0.0005_best,CartPole-v1,False,49,1048,184.0,184
cartpole_huber_lr0.0005_best,CartPole-v1,False,50,1049,332.0,332
cartpole_huber_lr0.0005_best,CartPole-v1,False,51,1050,182.0,182
cartpole_huber_lr0.0005_best,CartPole-v1,False,52,1051,145.0,145
cartpole_huber_lr0.0005_best,CartPole-v1,False,53,1052,137.0,137
cartpole_huber_lr0.0005_best,CartPole-v1,False,54,1053,267.0,267
cartpole_huber_lr0.0005_best,CartPole-v1,False,55,1054,135.0,135
cartpole_huber_lr0.0005_best,CartPole-v1,False,56,1055,193.0,193
cartpole_huber_lr0.0005_best,CartPole-v1,False,57,1056,207.0,207
cartpole_huber_lr0.0005_best,CartPole-v1,False,58,1057,134.0,134
cartpole_huber_lr0.0005_best,CartPole-v1,False,59,1058,125.0,125
cartpole_huber_lr0.0005_best,CartPole-v1,False,60,1059,146.0,146
cartpole_huber_lr0.0005_best,CartPole-v1,False,61,1060,162.0,162
cartpole_huber_lr0.0005_best,CartPole-v1,False,62,1061,156.0,156
